Color: cool_blue           #1e88e5             33        Blue
Color: earthy_brown        #6d4c41             94        Brown
Color: faded_walnut        #4c3b30             94        Brown
Color: calm_teal_cmpl      #80cbc4            123        Cyan
Color: olive_green         #8bc34a            148        Green
Color: light_gray          #bdbdbd            145        Lightgray
Color: warm_red            #d32f2f            160        Red
Color: gentle_lime_cmpl    #cddc39            190        Yellow
Color: warm_orange         #f57c00            214        Yellow
Color: soft_coral          #e57373            210        Lightred
Color: soft_pink_cmpl      #e58ac2            219        Magenta
Color: misty_rose_cmpl     #ffcdd2            224        Lightred
Color: pale_peach_cmpl     #ffccbc            224        Lightyellow
Color: golden_yellow       #fbc02d            226        Lightyellow
Color: soft_amber_cmpl     #ffeb3b            229        Yellow
Color: warm_white          #fdf6e3            230        White
Color: soft_charcoal       #2c2c2c            235        Darkgray
Color: warm_ash            #3a3a3a            236        Darkgray
Color: dark_gray           #424242            237        Darkgray
Color: deep_slate_blue     #333a56            238        Darkblue
Color: muted_olive         #4b4f3e            239        Brown
Color: medium_gray         #757575            240        Gray
